UUID.x	Superpopulation.code
59ba2b8d-d5b6-564d-9a51-a95a65ab93d8	NoCODE
59eb416f-e3eb-5a22-87ca-d0a61b7a4dcf	AFR
5a2ce350-d290-53c6-9a8c-de1491cf0738	NoCODE
5a3a7772-c06b-571c-907a-64822c04cefd	NoCODE
5a6f1b53-b7a6-5e4b-95e1-d84bb89aa806	EUR
5a721fb4-f20c-5f90-9b6a-139b560a1c14	NoCODE
5b5780b4-c9f6-5a0a-8237-22042fe49b51	AMR
5c5311b4-3b11-5c0f-8e24-ef2619474e02	NoCODE
5c6508bb-5be0-5d47-8813-b37b74f3bd8a	NoCODE
5d1bb0e5-644a-599f-b5aa-f63f2d221c2e	NoCODE
5dafcf4d-1407-54f0-8c86-7d5e0c2ea1fc	NoCODE
5dc05e18-82ab-535c-a58a-884cc845a523	NoCODE
5dc90a8a-af02-522f-94d8-00dcaa9c23ed	AFR
5e3e676a-1f53-5311-a85c-76e95901eeaa	AMR
5e4beaaa-041b-56df-8a82-19d1de05b57d	NoCODE
5e74d99e-1dd0-5b36-9472-fc0d70de5ef3	SAS
5efca25b-9ec3-5eec-9690-3a1a21b439e9	NoCODE
5f0f7559-010a-5cb2-a290-47849e19cf78	NoCODE
5f16365c-a413-5d25-b50d-04eb6256cf77	NoCODE
5f202154-e9ea-5192-8541-e6b1503406fb	NoCODE
5f350660-f0a7-5d6d-b317-5b5315c3326f	NoCODE
5f80bad2-a276-5d33-943d-7d9c48f7bc24	AFR
5f877ffb-c15e-5fc5-b6fd-6872a3071078	NoCODE
5f922572-0dae-5c21-92fe-4d153e74badd	NoCODE
5fd1de12-ec0e-5784-8ded-8e59d27681c1	NoCODE
601b9f1c-1dd1-5c3b-9785-8e66ef238c98	NoCODE
603cd5a9-5b20-5f31-b6f0-5da158269614	EAS
6079e951-2e6b-5e6a-beef-8c0e74b8bc57	AFR
60c72e87-7ed3-56b3-b13c-d58c602e4931	EAS
60d9cfd5-d8c3-522d-b7e8-833fd2ed60e9	NoCODE
6187d2b9-c78f-5482-b5f7-9aca3ae71dc1	NoCODE
6317cdae-7eff-58d9-8824-35fc57ee4d6b	NoCODE
63233b83-3da7-5182-81d1-ee25fee4f10f	NoCODE
632e4229-f9ff-5456-b8f0-a6a1274f8063	NoCODE
635ee17b-c4e2-5980-8cdd-415b9725f284	NoCODE
63bd0fd3-e32d-539a-9332-df6f7ae6f567	NoCODE
63db4c75-7074-5a16-9830-6ec4001ac15d	NoCODE
64817cba-2cf5-5ac9-bd72-808f01399691	NoCODE
64bc7379-3138-5250-b3be-a4381c99d000	NoCODE
64cc5c28-ba0d-5fde-bc30-697c4adaaf51	SAS
64ec0e4b-a5c9-5ac1-a9c7-c6799c669a38	NoCODE
64f362e2-cad6-5858-a05b-1a219260fe57	NoCODE
650862ab-4475-5c4a-86fb-fd01612b60b7	NoCODE
65090efe-6c03-5625-a9ed-58e82b0ba3e2	AMR
65674cc0-6820-5805-9260-c822e5d2fd90	NoCODE
6577bea8-58d2-58f8-b64f-448668e4f4b2	NoCODE
65977cdd-b977-50e5-af68-63415adce2fa	SAS
65e29f38-2b59-5c20-a566-ce13e136c066	NoCODE
66032fad-d232-5948-a4ce-16b6ea77853f	NoCODE
6679ca31-f9b9-537a-a61a-c07f2b7c5c9c	EAS
66a20143-25cd-5ce5-8102-05e17b046b5c	NoCODE
674104ca-34d4-5b90-b921-97bc15b19936	NoCODE
6769837b-12b5-5235-91ec-326415ae036b	NoCODE
679b5284-87fd-56d8-a382-e0ca68e07817	NoCODE
67b43f86-0095-56f5-a311-cfc012f7f813	NoCODE
682f46f8-b77e-541e-a116-81700acdf5a2	NoCODE
68de8957-76e6-5ce8-bcbf-00723f7847c5	NoCODE
68f44966-8285-5701-9619-6a78ec254150	NoCODE
69160b03-228f-5936-966c-fa571d861e8e	NoCODE
6950257c-6bd6-521d-8304-c52c8eadbd60	NoCODE
69561c29-becc-5238-ab21-28755a889391	NoCODE
698f4356-9547-57ba-8ada-0fef429c0e24	NoCODE
69aaf861-50df-5d14-98a9-38fceb3eb129	NoCODE
6a4fc936-fed0-5add-a82b-19b85c2a5e40	NoCODE
6a82f65e-4e5d-57a2-b896-53ed2761a154	NoCODE
6ad289e0-c180-5aaa-b1b2-2e18692aec55	EUR
6af8e579-68d6-522f-ae7b-e1d7d26a9871	NoCODE
6b46b7f0-a3f2-586e-9ba4-6a2611f3d0d0	EAS
6ba40aad-632b-50ab-b72c-4d5f294a3898	NoCODE
6c4855aa-a676-5215-bacb-0f7eeeb778c7	NoCODE
6cb22471-d4a4-5362-8a18-60f8f6f68970	NoCODE
6d25ea70-25f5-5ab9-b6bf-0cd54ca7577e	NoCODE
6d8c9289-3db4-5e92-b1ac-85502e93981f	NoCODE
